Date,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2010-01-04,6.418383598327637,39.1988639831543,41.66911697387695,25.368318557739258,130.64151000976562,19.571792602539062,13.51941967010498,40.41844940185547,28.423919677734375,17.435394287109375,40.55771255493164,42.9725456237793,23.130056381225586,34.22147750854492,9.354955673217773,38.41703796386719,24.597448348999023,13.516667366027832,18.025999069213867,37.88179397583008
2010-01-05,6.42948055267334,39.667510986328125,41.96428680419922,24.949745178222656,132.95123291015625,19.715158462524414,13.512953758239746,39.94976806640625,28.97450828552246,17.2244873046875,40.247615814208984,42.70340347290039,23.137531280517578,34.31330871582031,9.221525192260742,38.42959976196289,24.558433532714844,13.541032791137695,18.520854949951172,38.029693603515625
2010-01-06,6.327211856842041,39.78801727294922,41.96955108642578,25.03944206237793,131.53224182128906,19.646881103515625,13.46762752532959,40.274723052978516,29.133689880371094,17.21837615966797,39.69847869873047,43.308990478515625,22.99553680419922,35.040828704833984,9.191873550415039,38.247310638427734,24.800277709960938,13.151673316955566,18.54725456237793,38.35840606689453
2010-01-07,6.315513610839844,39.948707580566406,41.81143569946289,25.159042358398438,134.10601806640625,19.87899398803711,13.338129997253418,39.987274169921875,29.710796356201172,17.175575256347656,39.98919677734375,43.340057373046875,22.756383895874023,34.814796447753906,9.157281875610352,38.03989791870117,25.752029418945312,13.073389053344727,19.220256805419922,38.23789978027344
2010-01-08,6.357502460479736,40.397254943847656,41.88522720336914,25.173982620239258,131.56996154785156,19.783422470092773,13.48705768585205,40.12473678588867,29.637832641601562,16.857688903808594,39.950435638427734,43.645442962646484,22.913320541381836,35.04788589477539,9.231410026550293,37.98960876464844,25.510196685791016,13.081633567810059,19.04210662841797,38.08449172973633
2010-01-11,6.301417827606201,42.93463897705078,42.62837219238281,25.428119659423828,129.49423217773438,19.223642349243164,13.564754486083984,40.13100051879883,29.53832244873047,17.200035095214844,40.260536193847656,43.46946716308594,22.621864318847656,35.44343948364258,9.305535316467285,37.83876419067383,25.681819915771484,13.135193824768066,19.00251579284668,38.51178741455078
2010-01-12,6.229739189147949,41.66929244995117,42.38065719604492,25.45802116394043,126.67127990722656,19.10075569152832,13.344603538513184,40.34345245361328,28.848461151123047,17.386486053466797,40.48017883300781,43.505699157714844,22.472393035888672,34.27092361450195,9.27588939666748,38.27245330810547,25.00309944152832,13.147553443908691,18.527450561523438,38.32006072998047
2010-01-13,6.317613124847412,41.729557037353516,42.059146881103516,25.517812728881836,127.61479949951172,19.203157424926758,13.571223258972168,40.599666595458984,29.352596282958984,17.432340621948242,40.434959411621094,43.365936279296875,22.681650161743164,34.43339538574219,9.493325233459473,38.668453216552734,25.385372161865234,13.13106918334961,18.85736656188965,38.16666030883789
2010-01-14,6.281023025512695,41.49522399902344,41.92737579345703,25.517812728881836,127.2071762084961,19.31920623779297,13.907913208007812,40.680904388427734,29.64446449279785,17.462913513183594,40.47372817993164,43.22099685668945,23.137531280517578,34.20029830932617,9.577336311340332,38.7061653137207,25.99386978149414,12.863260269165039,19.127885818481445,38.17213439941406
2010-01-15,6.1760573387146,40.52458190917969,41.75871658325195,25.26367950439453,124.70117950439453,19.50353240966797,13.46762752532959,40.34345245361328,28.97450828552246,17.206138610839844,40.23468017578125,43.153724670410156,23.062795639038086,33.628177642822266,9.631699562072754,38.22847366333008,26.329326629638672,12.599566459655762,18.527450561523438,37.8598747253418
2010-01-19,6.449273586273193,41.0705680847168,41.99591064453125,25.547697067260742,125.94660949707031,19.715158462524414,13.629493713378906,40.83711624145508,28.70915985107422,17.245885848999023,41.00993728637695,44.05952835083008,23.242149353027344,34.214420318603516,9.883733749389648,38.79416275024414,27.405912399291992,12.86738109588623,18.6594181060791,37.94753646850586
2010-01-20,6.350005626678467,40.28191375732422,41.18948745727539,25.308523178100586,126.64864349365234,19.564966201782227,13.648921966552734,40.7121467590332,28.78876495361328,16.964670181274414,40.7062873840332,43.85248947143555,22.86100959777832,32.78059387207031,9.854082107543945,38.268714904785156,26.95342445373535,12.653129577636719,18.355905532836914,37.26823425292969
2010-01-21,6.240237712860107,38.32040023803711,40.182823181152344,24.9348087310791,121.4254150390625,19.442089080810547,13.493526458740234,39.974769592285156,26.891624450683594,16.619266510009766,40.829044342041016,42.806915283203125,22.42755699157715,31.38912582397461,9.50815200805664,37.882545471191406,25.822246551513672,12.620170593261719,18.474668502807617,36.539634704589844
2010-01-22,5.930727481842041,36.567840576171875,39.313175201416016,24.740467071533203,116.33043670654297,18.923263549804688,12.891365051269531,39.49359130859375,25.97621726989746,16.579524993896484,40.9517822265625,42.175418853759766,21.642850875854492,31.382062911987305,9.369781494140625,38.18008804321289,25.869060516357422,12.500683784484863,17.986417770385742,36.210941314697266
2010-01-25,6.090282440185547,37.16775894165039,39.2921028137207,24.9049072265625,116.97954559326172,18.85500717163086,13.156835556030273,39.50608444213867,26.009387969970703,16.613143920898438,40.757972717285156,42.356590270996094,21.91189956665039,31.170162200927734,9.31541919708252,38.38267135620117,25.744224548339844,12.640772819519043,18.25033950805664,36.07398223876953
2010-01-26,6.176355361938477,37.64633560180664,39.081275939941406,25.12914276123047,113.8848876953125,18.930099487304688,12.949642181396484,39.23738479614258,25.49861717224121,16.548954010009766,41.22313690185547,42.2530632019043,22.046415328979492,31.247854232788086,9.280831336975098,38.42062759399414,25.307353973388672,12.43063735961914,17.808258056640625,36.112342834472656
