,0
2005-01-10,0.0148333520939532
2005-02-09,0.0085320079653281
2005-03-11,-0.0224049753519428
2005-04-12,-0.012697885538844999
2005-05-11,0.032734489719371
2005-06-10,0.016073318703080198
2005-07-12,0.0118214038118776
2005-08-10,0.0008910260244591232
2005-09-09,-0.027757564053522504
2005-10-10,0.021668543753834698
2005-11-08,0.03101152950219821
2005-12-08,0.026398560906114
2006-01-10,-0.016837476736273203
2006-02-09,0.015438509662868843
2006-03-13,0.012872414066761699
2006-04-11,0.021427450545804996
2006-05-11,-0.0558505559035673
2006-06-12,0.020711008955231543
2006-07-12,-0.0033802510299846995
2006-08-10,0.025656233089653042
2006-09-11,0.04064384540092
2006-10-10,0.025722675834706197
2006-11-08,0.0182301045810151
2006-12-08,0.00824381776566681
2007-01-11,0.016814599566431006
2007-02-12,-0.040333113605250104
2007-03-14,0.049281136822748615
2007-04-13,0.041965793978303204
2007-05-14,-0.008052704629759795
2007-06-13,0.03548324191453339
2007-07-13,-0.0647498668717129
2007-08-13,0.0190286467838022
2007-09-12,0.062237360599475336
2007-10-11,-0.0597451653194615
2007-11-09,0.03288667675361401
2007-12-11,-0.068298831668568
2008-01-11,-0.0548418649801942
2008-02-12,-0.0180311555084552
2008-03-13,0.020199275086286606
2008-04-14,0.05172082955247009
2008-05-13,-0.047531185559587893
2008-06-12,-0.0734118103257389
2008-07-14,0.05399026941400971
2008-08-12,-0.0549597306100521
2008-09-11,-0.3046923953320415
2008-10-10,0.03424711271530859
2008-11-10,-0.04756588277640679
2008-12-10,0.0034937739078361
2009-01-12,-0.06948249848190849
2009-02-11,-0.0960318673918254
2009-03-13,0.1353680025501089
2009-04-14,0.05816096717713279
2009-05-13,0.041450229544921294
2009-06-12,-0.045427106497947
2009-07-14,0.10154658117929907
2009-08-12,0.04949160562071299
2009-09-11,0.028049512949130204
2009-10-12,0.021307182696268592
2009-11-10,0.0040991324881374976
2009-12-10,0.047288425539709494
2010-01-12,-0.06965934669206648
2010-02-11,0.07600212189572757
2010-03-15,0.04125910278827169
2010-04-14,-0.020060754374486796
2010-05-13,-0.06844559404882221
2010-06-14,0.004563873589640706
2010-07-14,-0.0032885742898484185
2010-08-12,0.01974868254801951
2010-09-13,0.05067244022187494
2010-10-12,0.0416412506522272
2010-11-10,0.017525004594440806
2010-12-10,0.03093038769322969
2011-01-11,0.0408158484420475
2011-02-10,-0.010870074226882999
2011-03-14,0.016640239716886406
2011-04-12,0.014837631153703349
2011-05-12,-0.0522179196790111
2011-06-13,0.03429112602252179
2011-07-13,-0.15716142755742818
2011-08-11,0.0318157522943119
2011-09-12,0.036245695071212905
2011-10-11,0.06710616868799901
2011-11-09,-0.0312136189397123
2011-12-09,0.0472632681487889
2012-01-11,0.0471185618526614
2012-02-10,0.01626761110111872
2012-03-13,0.00014785863246750443
2012-04-12,-0.0071788443970259045
2012-05-11,-0.034479785071929406
