,0
2005-01-10,0.008053294057335743
2005-02-09,0.04616704064655005
2005-03-11,-0.01948156569714187
2005-04-12,-0.02155918880463714
2005-05-11,0.029977286618580234
2005-06-10,0.00619451002058475
2005-07-12,0.017452223958179035
2005-08-10,0.04125804581145628
2005-09-09,0.022555482434404594
2005-10-10,0.00405943663882688
2005-11-08,0.09882380054225393
2005-12-08,0.053595933705962114
2006-01-10,-0.02521669676254273
2006-02-09,-0.03534440074912214
2006-03-13,0.024681388012879408
2006-04-11,0.01619312308868094
2006-05-11,-0.10742229960812842
2006-06-12,0.039253496652887895
2006-07-12,0.015130922877529924
2006-08-10,0.022162556861158006
2006-09-11,-0.002702280800388798
2006-10-10,0.007917099666537615
2006-11-08,0.022335550026971143
2006-12-08,0.01917517652681135
2007-01-11,-0.014987180364370582
2007-02-12,-0.012357038002965023
2007-03-14,0.037296082533739755
2007-04-13,0.07247464088107683
2007-05-14,0.023843135398448536
2007-06-13,0.05191691160064734
2007-07-13,-0.09355773551183447
2007-08-13,0.03492886340705074
2007-09-12,0.09141492256027585
2007-10-11,-0.012418365794708805
2007-11-09,0.06345077263431662
2007-12-11,-0.04988675369789772
2008-01-11,-0.12785429324744388
2008-02-12,-0.011821856137216582
2008-03-13,0.051299335478038034
2008-04-14,0.10490736271290346
2008-05-13,-0.02770799090202039
2008-06-12,-0.05781735295449288
2008-07-14,0.040256556538612036
2008-08-12,-0.05054383041948233
2008-09-11,-0.26089855047261196
2008-10-10,0.0821477544482582
2008-11-10,0.014103309838488278
2008-12-10,-0.008300817705666277
2009-01-12,-0.00990397186063469
2009-02-11,-0.09350825445817564
2009-03-13,0.1085927165462724
2009-04-14,0.026059099172584508
2009-05-13,0.056879086722939336
2009-06-12,-0.02759726519000384
2009-07-14,0.06377819764071772
2009-08-12,0.025129828723062214
2009-09-11,0.0468093064707579
2009-10-12,0.04790047434160439
2009-11-10,0.017150428425375976
2009-12-10,0.01564848543062355
2010-01-12,-0.0453186243783094
2010-02-11,0.054406390823550824
2010-03-15,0.03548609492391036
2010-04-14,0.017190231191047286
2010-05-13,-0.03861295000480013
