date,ticker,actual,predicted,model
2005-01-10,AAPL,0.15549089979224387,0.0035488268468311327,Historical
2005-01-10,CAT,-0.016171264388042606,0.013187500917934908,Historical
2005-01-10,CVX,0.1012459213505597,0.006181740337265706,Historical
2005-01-10,DUK,0.09689313928586571,0.00399850607262771,Historical
2005-01-10,GS,0.0650305530682746,0.0034805304865974827,Historical
2005-01-10,HD,0.0150952203168258,-0.007032039229583397,Historical
2005-01-10,INTC,0.029952333197272408,-0.010477024060912537,Historical
2005-01-10,JNJ,0.05771751320381959,0.006404860232225322,Historical
2005-01-10,JPM,-0.016806990666977,-0.0006507210336267654,Historical
2005-01-10,KO,0.0355606583185259,-0.003682683690629338,Historical
2005-01-10,MCD,0.017110495338905497,-0.0025857430010192747,Historical
2005-01-10,MMM,0.024485343385419002,0.010995164913980272,Historical
2005-01-10,MSFT,-0.0162545046016263,-0.011025799518320487,Historical
2005-01-10,NEM,-0.026863945134647703,0.009557437435249404,Historical
2005-01-10,PFE,-0.0289311929478207,-0.001988444473846835,Historical
2005-01-10,PG,-0.0685881170776355,0.0024465240776891176,Historical
2005-01-10,UNH,0.0186266654535233,0.031213084409613265,Historical
2005-01-10,VZ,-0.07807866593091489,-0.0038604710270596985,Historical
2005-01-10,WFC,-0.004014232982545102,0.00984045650853527,Historical
2005-01-10,XOM,0.11848658555961342,0.005996114451670255,Historical
2005-02-09,AAPL,-0.015446587883200366,0.008218961485872148,Historical
2005-02-09,CAT,0.07149730511269431,0.014693604251383727,Historical
2005-02-09,CVX,0.03974855730398559,0.008069674454250574,Historical
2005-02-09,DUK,0.0312842723144893,0.002964222209120864,Historical
2005-02-09,GS,-0.0019738325792958934,0.004019010324787589,Historical
2005-02-09,HD,-0.050222528504569194,-0.005605453049889625,Historical
2005-02-09,INTC,0.0596945637643185,-0.01230927009876248,Historical
2005-02-09,JNJ,0.029184257647464802,0.008646338422856845,Historical
2005-02-09,JPM,-0.037780685644784394,-0.0030671292647133546,Historical
2005-02-09,KO,0.009799009898308394,-0.003090006051987238,Historical
2005-02-09,MCD,0.010127529120826699,-0.0004684431005205096,Historical
2005-02-09,MMM,0.03203019442376499,0.011737709557054407,Historical
2005-02-09,MSFT,-0.028275454207326807,-0.008877288556450329,Historical
2005-02-09,NEM,0.1263681037562356,0.011478072629514753,Historical
2005-02-09,PFE,0.0533611085074048,-0.0044989120588993705,Historical
2005-02-09,PG,0.024514058248960996,0.002645301805591959,Historical
2005-02-09,UNH,0.0282893442178262,0.030877303134740363,Historical
2005-02-09,VZ,-0.007711173777421299,-0.005094491321863033,Historical
2005-02-09,WFC,-0.020222787333544906,0.009735952584074128,Historical
2005-02-09,XOM,0.07907727840179467,0.006839641034021947,Historical
