,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Total Return,Num Periods,Forecast_rmse,Forecast_mae,Forecast_hit_rate
Baseline 1 (Hist Mean),0.1608005745490284,0.1283492805211975,0.9264598253251473,0.664003883757117,-0.24216812353442035,3.3871216392728165,119.0,0.06952216737221042,0.050634285234742046,0.561344537815126
Baseline 2 (StatsForecast),0.13255396909086015,0.1326098934794672,0.7131560925259053,0.6396491275402016,-0.20722918766512222,2.4362452722621213,119.0,0.06979510692084978,0.051044304830713996,0.5261820030503305
PatchTST,0.14066473562908532,0.12650466003728808,0.7983782504278542,0.9012939723163196,-0.15606976186424268,2.6882214112731946,119.0,0.0844935214868541,0.062140760807419135,0.5088235294117647
