date,ticker,actual,predicted,model
2005-01-10,AAPL,0.15549089979224387,0.20196077,PatchTST-ICEEMDAN
2005-01-10,CAT,-0.016171264388042606,0.0016035812,PatchTST-ICEEMDAN
2005-01-10,CVX,0.1012459213505597,0.027727205,PatchTST-ICEEMDAN
2005-01-10,DUK,0.09689313928586571,0.012223348,PatchTST-ICEEMDAN
2005-01-10,GS,0.0650305530682746,-0.0022332007,PatchTST-ICEEMDAN
2005-01-10,HD,0.0150952203168258,-0.044864103,PatchTST-ICEEMDAN
2005-01-10,INTC,0.029952333197272408,0.024469579,PatchTST-ICEEMDAN
2005-01-10,JNJ,0.05771751320381959,0.06900953,PatchTST-ICEEMDAN
2005-01-10,JPM,-0.016806990666977,0.019553848,PatchTST-ICEEMDAN
2005-01-10,KO,0.0355606583185259,0.034881163,PatchTST-ICEEMDAN
2005-01-10,MCD,0.017110495338905497,0.0040398026,PatchTST-ICEEMDAN
2005-01-10,MMM,0.024485343385419002,-0.0052794684,PatchTST-ICEEMDAN
2005-01-10,MSFT,-0.0162545046016263,0.0042656027,PatchTST-ICEEMDAN
2005-01-10,NEM,-0.026863945134647703,0.054540563,PatchTST-ICEEMDAN
2005-01-10,PFE,-0.0289311929478207,-0.091776654,PatchTST-ICEEMDAN
2005-01-10,PG,-0.0685881170776355,0.029018387,PatchTST-ICEEMDAN
2005-01-10,UNH,0.0186266654535233,0.122926764,PatchTST-ICEEMDAN
2005-01-10,VZ,-0.07807866593091489,0.023029149,PatchTST-ICEEMDAN
2005-01-10,WFC,-0.004014232982545102,0.043893583,PatchTST-ICEEMDAN
2005-01-10,XOM,0.11848658555961342,0.0450395,PatchTST-ICEEMDAN
2005-02-09,AAPL,-0.015446587883200366,0.024620684,PatchTST-ICEEMDAN
2005-02-09,CAT,0.07149730511269431,0.076198444,PatchTST-ICEEMDAN
2005-02-09,CVX,0.03974855730398559,0.02567897,PatchTST-ICEEMDAN
2005-02-09,DUK,0.0312842723144893,0.008083553,PatchTST-ICEEMDAN
2005-02-09,GS,-0.0019738325792958934,-0.005122849,PatchTST-ICEEMDAN
2005-02-09,HD,-0.050222528504569194,-0.027505785,PatchTST-ICEEMDAN
2005-02-09,INTC,0.0596945637643185,0.05059523,PatchTST-ICEEMDAN
2005-02-09,JNJ,0.029184257647464802,0.033903,PatchTST-ICEEMDAN
2005-02-09,JPM,-0.037780685644784394,-0.007374431,PatchTST-ICEEMDAN
2005-02-09,KO,0.009799009898308394,0.005175827,PatchTST-ICEEMDAN
2005-02-09,MCD,0.010127529120826699,0.10185792,PatchTST-ICEEMDAN
2005-02-09,MMM,0.03203019442376499,0.04350043,PatchTST-ICEEMDAN
2005-02-09,MSFT,-0.028275454207326807,0.022240337,PatchTST-ICEEMDAN
2005-02-09,NEM,0.1263681037562356,0.036608275,PatchTST-ICEEMDAN
2005-02-09,PFE,0.0533611085074048,-0.03402712,PatchTST-ICEEMDAN
2005-02-09,PG,0.024514058248960996,-0.040327486,PatchTST-ICEEMDAN
2005-02-09,UNH,0.0282893442178262,0.02248882,PatchTST-ICEEMDAN
2005-02-09,VZ,-0.007711173777421299,0.04192535,PatchTST-ICEEMDAN
2005-02-09,WFC,-0.020222787333544906,0.018721681,PatchTST-ICEEMDAN
2005-02-09,XOM,0.07907727840179467,0.048294395,PatchTST-ICEEMDAN
2005-03-11,AAPL,0.05114286226318039,0.044607446,PatchTST-ICEEMDAN
2005-03-11,CAT,-0.08592080828075091,0.0437127,PatchTST-ICEEMDAN
2005-03-11,CVX,-0.02808829295134439,0.026802018,PatchTST-ICEEMDAN
2005-03-11,DUK,0.03190643305657841,0.05342628,PatchTST-ICEEMDAN
2005-03-11,GS,0.006802565552313097,0.033054754,PatchTST-ICEEMDAN
2005-03-11,HD,-0.0554050325110691,-0.048955593,PatchTST-ICEEMDAN
2005-03-11,INTC,-0.07215971437572072,-0.032684963,PatchTST-ICEEMDAN
2005-03-11,JNJ,0.013003768684027498,0.044657316,PatchTST-ICEEMDAN
2005-03-11,JPM,-0.0390618862625842,-0.008066569,PatchTST-ICEEMDAN
2005-03-11,KO,-0.021735038579536497,0.03248452,PatchTST-ICEEMDAN
2005-03-11,MCD,-0.061388481813133,0.0055983015,PatchTST-ICEEMDAN
2005-03-11,MMM,-0.025481122392370104,0.020726036,PatchTST-ICEEMDAN
2005-03-11,MSFT,-0.018254007883441198,-0.00195688,PatchTST-ICEEMDAN
2005-03-11,NEM,-0.08888070820230069,-0.011626678,PatchTST-ICEEMDAN
2005-03-11,PFE,-0.010900170441581095,-0.000888448,PatchTST-ICEEMDAN
2005-03-11,PG,0.03812285722497011,-0.010606113,PatchTST-ICEEMDAN
2005-03-11,UNH,0.06173173079696579,0.05217528,PatchTST-ICEEMDAN
2005-03-11,VZ,-0.024356479081576704,-0.05725484,PatchTST-ICEEMDAN
2005-03-11,WFC,-0.0034933689013729,-0.020766342,PatchTST-ICEEMDAN
2005-03-11,XOM,-0.0013259712450808024,0.02794855,PatchTST-ICEEMDAN
2005-04-12,AAPL,-0.1406457983122764,0.0051368177,PatchTST-ICEEMDAN
2005-04-12,CAT,-0.0011158997084381754,-0.080097124,PatchTST-ICEEMDAN
2005-04-12,CVX,-0.07085292977227058,0.030068338,PatchTST-ICEEMDAN
2005-04-12,DUK,-0.022583816110528794,0.054799624,PatchTST-ICEEMDAN
2005-04-12,GS,-0.090869495821368,0.02364831,PatchTST-ICEEMDAN
2005-04-12,HD,-0.03450466331825651,-0.05344426,PatchTST-ICEEMDAN
2005-04-12,INTC,0.06825274020318149,0.0043439097,PatchTST-ICEEMDAN
2005-04-12,JNJ,-0.0169821176730625,0.027395505,PatchTST-ICEEMDAN
2005-04-12,JPM,0.0149086650313058,-0.043905348,PatchTST-ICEEMDAN
2005-04-12,KO,0.05483385927590161,-0.01627798,PatchTST-ICEEMDAN
2005-04-12,MCD,-0.02298968635321049,-0.0075529604,PatchTST-ICEEMDAN
2005-04-12,MMM,-0.0976687352601859,-0.03071149,PatchTST-ICEEMDAN
2005-04-12,MSFT,-0.002807336647981007,0.03462989,PatchTST-ICEEMDAN
2005-04-12,NEM,-0.10895140564796901,-0.120052464,PatchTST-ICEEMDAN
2005-04-12,PFE,0.044352706398762494,0.086631864,PatchTST-ICEEMDAN
2005-04-12,PG,-0.003180091603028609,0.007311336,PatchTST-ICEEMDAN
2005-04-12,UNH,0.006664131101249606,0.070448935,PatchTST-ICEEMDAN
2005-04-12,VZ,-0.016467005548914098,0.05442811,PatchTST-ICEEMDAN
2005-04-12,WFC,0.0033153759454283005,-0.0062143635,PatchTST-ICEEMDAN
2005-04-12,XOM,-0.0520883849327419,0.064261965,PatchTST-ICEEMDAN
2005-05-11,AAPL,0.03321582723529471,-0.09215502,PatchTST-ICEEMDAN
2005-05-11,CAT,0.08342623469895769,-0.008326487,PatchTST-ICEEMDAN
2005-05-11,CVX,0.0645647853803909,-0.055866715,PatchTST-ICEEMDAN
2005-05-11,DUK,0.016975187753965303,0.0024421914,PatchTST-ICEEMDAN
2005-05-11,GS,-0.021381433354475104,-0.056366116,PatchTST-ICEEMDAN
2005-05-11,HD,0.08511900761438251,-0.06810192,PatchTST-ICEEMDAN
