,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Total Return,Num Periods,Annual Return (net),Annual Volatility (net),Sharpe Ratio (net),Calmar Ratio (net),Max Drawdown (net),Total Return (net),Avg Turnover,Forecast_rmse,Forecast_mae,Forecast_hit_rate
Baseline 1 (Hist Mean),0.14827463221314297,0.15398616232533857,0.7272502817415235,0.44586860136740025,-0.332552307469983,17.028407477138245,251.0,0.14703928380835518,0.15396868474412628,0.7202510443676423,0.44106118153137497,-0.333376161778353,16.627035198849654,0.1817289914215368,0.07382887079860061,0.05256184383295275,0.5673306772908366
Baseline 2 (StatsForecast),0.1485257146932133,0.16240943933354418,0.6995208200481312,0.41721199850572666,-0.35599578925143166,17.111042933276597,251.0,0.14513035867555657,0.1623870702209619,0.6811795042498008,0.4040227364243376,-0.3592133451695868,16.023502548025228,0.49900669941093545,0.0749915045690002,0.05324580134772784,0.5404950732996876
PatchTST,0.12259757045386244,0.15865555026306094,0.5673164053570126,0.2298985595892738,-0.5332681103913379,10.233645533108334,251.0,0.1150583514171386,0.1586299015799277,0.5245493493676416,0.2140552319905484,-0.5375171181156599,8.756813957099546,1.1331141335290793,0.09458644034207518,0.06618507486334263,0.5143426294820718
PatchTST + ICEEMDAN,0.1781069473975947,0.14993089629324405,0.9152297535371497,0.520089186587158,-0.34245462507370755,29.82811700951989,251.0,0.17032106742191866,0.14991128996004496,0.8705461262940328,0.4883820384208041,-0.34874555987492134,25.835729030266076,1.119420749935163,0.10786714885835189,0.07456000846132967,0.5129482071713147
Equal Weight (1/N),0.13126484653360548,0.14489893386532257,0.6588499894246397,0.3516007742243992,-0.3733349189095625,12.194302540477992,251.0,0.13097659187022215,0.1448986700405593,0.6570762505537199,0.3505286721432312,-0.37365443194530795,12.1241587335681,0.042864370723008506,,,
Buy & Hold (SPY),0.10754968623045569,0.16063421847351914,0.47838688696790843,0.21405153689178705,-0.5024476244934744,7.470921386684083,251.0,0.10754968623045569,0.16063421847351914,0.47838688696790843,0.21405153689178705,-0.5024476244934744,7.470921386684083,0.0,,,
