,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Total Return,Num Periods,Forecast_rmse,Forecast_mae,Forecast_hit_rate
Baseline 1 (Hist Mean),0.16080058414412712,0.12834927040510877,0.9264599543154877,0.6640040116390711,-0.2421680913451056,3.3871219988873564,119.0,0.06952216500458873,0.050634286501984864,0.5609243697478992
Baseline 2 (StatsForecast),0.1308942205433692,0.13424090225474064,0.6950375410969356,0.5929232877817354,-0.22076080201382384,2.3866320493259012,119.0,0.06978811259207063,0.0510448875050852,0.5274949083503055
PatchTST,0.13368902571918584,0.132355060580948,0.7213074955505578,0.8759252853507768,-0.15262606064128878,2.470549669856387,119.0,0.07693469410876241,0.05602843894982037,0.5214285714285715
