date,ticker,actual,predicted,model
2015-01-07,AAPL,0.1250416271331581,0.0648619,PatchTST
2015-01-07,CAT,-0.025946758798372892,0.0005924087,PatchTST
2015-01-07,CVX,0.011779398804913693,0.009916978,PatchTST
2015-01-07,DUK,0.029489467174765506,0.05911092,PatchTST
2015-01-07,GS,-0.02058661123836221,0.009809822,PatchTST
2015-01-07,HD,0.07663063191209354,0.0688408,PatchTST
2015-01-07,INTC,-0.031574891042677695,0.063735746,PatchTST
2015-01-07,JNJ,-0.007971042317870701,0.0026757559,PatchTST
2015-01-07,JPM,-0.03819076067494951,-0.03470558,PatchTST
2015-01-07,KO,-0.015904985281105795,-0.052340455,PatchTST
2015-01-07,MCD,0.020778108010770402,0.030209258,PatchTST
2015-01-07,MMM,0.0485951616745963,0.044272106,PatchTST
2015-01-07,MSFT,-0.07267679889861138,0.033892147,PatchTST
2015-01-07,NEM,0.20250763379149614,0.009952743,PatchTST
2015-01-07,PFE,0.0575426231557073,-0.060261294,PatchTST
2015-01-07,PG,-0.025814162869991303,0.032159615,PatchTST
2015-01-07,UNH,0.09538386686261428,0.0040023383,PatchTST
2015-01-07,VZ,0.029042625630574498,0.023669226,PatchTST
2015-01-07,WFC,0.0364510795646609,0.00054256944,PatchTST
2015-01-07,XOM,0.027998022441354097,-0.0058311597,PatchTST
2015-02-06,AAPL,0.05829702556744971,0.027644098,PatchTST
2015-02-06,CAT,-0.03358389211207279,-0.012381181,PatchTST
2015-02-06,CVX,-0.040502075818726106,0.056971204,PatchTST
2015-02-06,DUK,-0.1389120942210857,0.00015046122,PatchTST
2015-02-06,GS,0.041978400634202294,0.03227527,PatchTST
2015-02-06,HD,0.055847797603409584,0.0071360436,PatchTST
2015-02-06,INTC,-0.03660752833799331,-0.007692132,PatchTST
2015-02-06,JNJ,-0.010748685764831597,0.00989438,PatchTST
2015-02-06,JPM,0.08002962383047808,-0.05347728,PatchTST
2015-02-06,KO,-0.009617899837576105,0.00036441343,PatchTST
2015-02-06,MCD,0.043751485002927415,0.028472278,PatchTST
2015-02-06,MMM,0.005119130958479993,0.03215768,PatchTST
2015-02-06,MSFT,0.016470624397708897,0.031227827,PatchTST
2015-02-06,NEM,-0.10169650233931751,-0.054155145,PatchTST
2015-02-06,PFE,0.03103814353087081,0.0040082657,PatchTST
